Product,Region,Sales,Profit,Discount,Category,Date
Table,South,765.0,176.34313339870403,0.15,Furniture,2023-03-09
Chair,West,600.0,171.6185279153182,0.0,Furniture,2023-04-19
Headphones,East,192.0,19.199833195027203,0.2,Technology,2023-04-08
Monitor,East,455.0,130.14362166687286,0.09,Technology,2023-02-06
Table,South,279.0,17.46331145883868,0.07,Furniture,2023-05-17
Laptop,South,712.0,130.9426389384426,0.11,Technology,2023-04-27
Table,South,528.0,54.435545853520736,0.12,Furniture,2023-01-31
Table,North,462.0,79.747992395329,0.23,Furniture,2023-01-03
Table,West,882.0,151.66821381115162,0.02,Furniture,2023-04-02
Monitor,West,465.0,122.59882871112052,0.07,Technology,2023-01-19
Pen,West,15.8,3.613052898137561,0.21,Stationery,2023-03-31
Pen,East,4.75,1.138074651430418,0.05,Stationery,2023-05-09
Laptop,West,2088.0,432.7285223545797,0.13,Technology,2023-02-21
Headphones,South,350.4,77.74397301157262,0.27,Technology,2023-05-28
Chair,East,97.5,10.074479448332374,0.35,Furniture,2023-06-14
Backpack,West,75.19999999999999,10.794395630283438,0.06,Stationery,2023-03-10
Monitor,North,350.0,62.770671875985,0.3,Technology,2023-01-01
Notebook,West,16.8,4.369799836648817,0.16,Stationery,2023-02-22
Notebook,East,8.6,0.4954738746244407,0.14,Stationery,2023-02-04
Chair,East,436.5,101.67108117420936,0.03,Furniture,2023-06-23
Monitor,East,445.0,33.407701077036634,0.11,Technology,2023-06-04
Backpack,West,29.2,8.645604870741291,0.27,Stationery,2023-05-02
Phone,North,770.0,207.22725972344372,0.23,Technology,2023-01-23
Laptop,East,496.0,113.52958352492097,0.38,Technology,2023-03-02
Backpack,South,52.8,10.795972333311314,0.34,Stationery,2023-02-19
Table,West,1128.0,334.17910264507253,0.06,Furniture,2023-06-05
Table,South,1068.0,89.95237254005492,0.11,Furniture,2023-01-08
Chair,West,285.0,21.221419520199927,0.05,Furniture,2023-05-29
Laptop,West,496.0,75.81017934070431,0.38,Technology,2023-03-10
Phone,North,1820.0,239.0161888473434,0.09,Technology,2023-02-13
Chair,East,474.0,41.11317747994445,0.21,Furniture,2023-01-19
Table,North,657.0,103.83031720015114,0.27,Furniture,2023-02-28
Backpack,South,56.8,6.477181999288914,0.29,Stationery,2023-03-11
Laptop,South,1280.0,209.96498137615347,0.2,Technology,2023-01-27
Chair,North,534.0,137.08719416546563,0.11,Furniture,2023-05-16
Pen,West,4.6000000000000005,1.1240186961260663,0.08,Stationery,2023-04-19
Notebook,West,15.2,4.149788700709049,0.24,Stationery,2023-04-18
Pen,North,6.3,1.5746785181987235,0.37,Stationery,2023-06-21
Monitor,East,770.0,72.01655080372296,0.23,Technology,2023-05-04
Chair,South,240.0,20.62976194086336,0.2,Furniture,2023-06-22
Pen,South,16.8,1.5114542820002863,0.16,Stationery,2023-05-26
Chair,South,492.00000000000006,34.80552496171211,0.18,Furniture,2023-01-05
Backpack,East,102.4,17.23444925301019,0.36,Stationery,2023-03-15
Backpack,North,158.4,17.424802825836498,0.01,Stationery,2023-02-21
Notebook,West,18.2,3.598977952222766,0.09,Stationery,2023-05-09
Chair,South,372.0,98.86110334941256,0.38,Furniture,2023-01-16
Backpack,North,155.2,32.161259435593976,0.03,Stationery,2023-06-19
Chair,North,373.5,86.6236460399177,0.17,Furniture,2023-06-09
Pen,West,4.1000000000000005,0.2217367152508006,0.18,Stationery,2023-03-22
Chair,South,438.0,125.4105179159592,0.27,Furniture,2023-05-01
Keyboard,East,135.0,24.380005464156756,0.25,Technology,2023-06-15
Table,South,270.0,52.66024084829096,0.1,Furniture,2023-04-13
Table,South,183.0,53.7222217364258,0.39,Furniture,2023-05-30
Table,East,837.0,210.71952843030087,0.07,Furniture,2023-01-22
Table,East,783.0,95.60400585263994,0.13,Furniture,2023-05-08
Pen,West,18.0,5.070955902545812,0.1,Stationery,2023-03-20
Notebook,West,17.8,4.1751082842507445,0.11,Stationery,2023-05-19
Table,West,1008.0,109.02200219310092,0.16,Furniture,2023-05-13
Notebook,West,18.3,4.104422896989723,0.39,Stationery,2023-06-14
Table,East,1080.0,186.16751878527705,0.1,Furniture,2023-05-16
Laptop,East,568.0,118.01982690309016,0.29,Technology,2023-06-07
Phone,East,1050.0,261.3278708615261,0.3,Technology,2023-04-18
Keyboard,South,51.6,9.060824001611474,0.14,Technology,2023-01-05
Table,East,390.0,53.50630975663345,0.35,Furniture,2023-06-29
Notebook,West,28.5,4.644229489022037,0.05,Stationery,2023-03-26
Laptop,East,1968.0,162.994349608842,0.18,Technology,2023-06-04
Keyboard,East,109.8,32.379285763680244,0.39,Technology,2023-03-31
Headphones,South,184.8,21.79035786340394,0.23,Technology,2023-06-15
Pen,North,3.2,0.4083046607838492,0.36,Stationery,2023-01-21
Laptop,East,2240.0,296.5439180547662,0.3,Technology,2023-05-04
Backpack,West,108.0,29.409299686737004,0.1,Stationery,2023-01-01
Backpack,North,34.0,6.990267642811042,0.15,Stationery,2023-02-20
Notebook,North,17.2,3.217953752433579,0.14,Stationery,2023-04-16
Notebook,East,19.8,4.506167303422355,0.34,Stationery,2023-05-14
Notebook,East,31.6,4.433096985124103,0.21,Stationery,2023-03-17
Table,North,498.0,102.36776682555448,0.17,Furniture,2023-06-07
Pen,West,4.8,1.0743240070856233,0.04,Stationery,2023-02-13
Pen,North,15.0,2.4557245485594184,0.0,Stationery,2023-01-14
Backpack,South,50.4,11.29567862683827,0.37,Stationery,2023-02-10
Laptop,North,2376.0,176.56229782566024,0.01,Technology,2023-04-24
Chair,West,216.0,35.69436878486732,0.28,Furniture,2023-03-06
Keyboard,North,156.0,20.60382902327923,0.35,Technology,2023-05-08
Laptop,South,2400.0,673.4087890779798,0.25,Technology,2023-05-16
Table,North,201.0,12.209564532109242,0.33,Furniture,2023-05-12
Pen,North,8.4,1.6018445610259529,0.16,Stationery,2023-02-26
Backpack,South,32.800000000000004,6.403275648011936,0.18,Stationery,2023-03-21
Notebook,East,25.8,2.885721973227541,0.14,Stationery,2023-01-24
Backpack,West,111.6,30.63593976626321,0.07,Stationery,2023-02-17
Table,North,522.0,73.36567219159032,0.13,Furniture,2023-06-13
Laptop,South,488.0,64.41453611078573,0.39,Technology,2023-01-20
Chair,East,342.0,51.575141825392826,0.24,Furniture,2023-06-07
Keyboard,East,199.2,32.694690584880234,0.17,Technology,2023-01-20
Chair,North,144.0,30.68312229869491,0.04,Furniture,2023-04-04
Chair,East,90.0,14.583213718471304,0.4,Furniture,2023-01-30
Chair,South,133.5,36.3718632838699,0.11,Furniture,2023-06-17
Notebook,South,38.8,2.547569229680154,0.03,Stationery,2023-04-22
Chair,North,237.0,22.48004664000421,0.21,Furniture,2023-02-11
Table,West,912.0,260.0982183082274,0.24,Furniture,2023-01-23
Headphones,West,306.0,73.82207523880514,0.15,Technology,2023-04-07
Backpack,North,160.0,27.91107631301367,0.0,Stationery,2023-01-06
Pen,South,9.15,0.5913986346138408,0.39,Stationery,2023-01-06
Chair,East,492.00000000000006,143.572894624739,0.18,Furniture,2023-05-13
Phone,East,1215.0,183.40204497770284,0.19,Technology,2023-05-22
Notebook,South,8.6,1.2892848500181122,0.14,Stationery,2023-06-20
Headphones,West,270.0,55.71167851621251,0.25,Technology,2023-04-11
Table,South,783.0,60.77589447663404,0.13,Furniture,2023-01-12
Headphones,West,280.8,21.74686895598755,0.22,Technology,2023-02-08
Table,West,225.0,61.27241152942569,0.25,Furniture,2023-05-14
Notebook,West,15.8,4.575314070213782,0.21,Stationery,2023-01-08
Monitor,North,329.99999999999994,86.02909117149949,0.34,Technology,2023-05-03
Backpack,East,155.2,8.09716883272339,0.03,Stationery,2023-04-04
Notebook,West,38.8,5.524050025586533,0.03,Stationery,2023-01-30
Notebook,North,8.200000000000001,1.0909913196353025,0.18,Stationery,2023-05-10
Monitor,South,970.0,230.62274984767663,0.03,Technology,2023-05-20
Notebook,East,9.6,2.5880939889119854,0.04,Stationery,2023-01-29
Notebook,East,7.7,1.3495466077068978,0.23,Stationery,2023-04-14
Chair,East,270.0,27.034830872099445,0.1,Furniture,2023-02-03
Laptop,South,2912.0,852.2924903370207,0.09,Technology,2023-06-10
Chair,North,418.5,113.19342163650607,0.07,Furniture,2023-05-21
Phone,East,1359.9999999999998,254.83019475039225,0.32,Technology,2023-03-22
Monitor,North,212.5,15.613143644543488,0.15,Technology,2023-05-31
Backpack,North,29.6,4.769945929803626,0.26,Stationery,2023-05-27
Monitor,South,840.0,244.890963581706,0.16,Technology,2023-04-02
Phone,South,900.0,218.9328696382102,0.1,Technology,2023-05-13
Chair,East,120.0,22.064047704093525,0.2,Furniture,2023-06-25
Pen,East,13.2,3.3595099089942666,0.12,Stationery,2023-03-16
Monitor,South,900.0,140.54917563913338,0.1,Technology,2023-06-20
Pen,South,13.5,3.8316438648600055,0.1,Stationery,2023-05-08
Backpack,South,100.8,11.350034963910034,0.37,Stationery,2023-04-13
Monitor,South,720.0,181.6856948680557,0.28,Technology,2023-05-26
Table,West,1032.0,220.35313832351216,0.14,Furniture,2023-01-11
Chair,North,264.0,28.589467577786763,0.12,Furniture,2023-05-13
Backpack,West,63.2,5.446120003526109,0.21,Stationery,2023-02-07
Backpack,South,36.8,2.651883804065461,0.08,Stationery,2023-06-12
Laptop,North,1376.0,108.58768393532458,0.14,Technology,2023-01-08
Headphones,North,235.2,56.1602433124564,0.02,Technology,2023-04-20
Chair,North,432.0,80.55910041853369,0.04,Furniture,2023-05-13
Laptop,South,1848.0,264.96208853992584,0.23,Technology,2023-02-05
Pen,West,9.75,2.1795097627122435,0.35,Stationery,2023-01-13
Pen,West,13.2,1.123042859147284,0.34,Stationery,2023-04-25
Table,West,900.0,121.4169849373948,0.25,Furniture,2023-03-23
Table,East,540.0,144.93017168425413,0.1,Furniture,2023-02-26
Headphones,North,334.79999999999995,65.90331328160141,0.07,Technology,2023-02-28
Backpack,West,33.2,4.13559469337953,0.17,Stationery,2023-01-02
Chair,West,132.0,19.007810939199636,0.12,Furniture,2023-03-19
Pen,East,10.95,2.562009542511169,0.27,Stationery,2023-01-11
Chair,West,243.00000000000003,42.33757097793106,0.19,Furniture,2023-03-25
Chair,East,246.00000000000003,50.90568750601,0.18,Furniture,2023-06-07
Keyboard,West,154.8,17.980775798992287,0.14,Technology,2023-05-01
Headphones,East,114.0,24.489134193197664,0.05,Technology,2023-03-23
Notebook,West,9.8,0.7040875901006505,0.02,Stationery,2023-05-13
Notebook,West,34.0,10.10436652628776,0.15,Stationery,2023-05-24
Laptop,North,624.0,106.854640644659,0.22,Technology,2023-03-02
Headphones,North,80.39999999999999,8.925051801912488,0.33,Technology,2023-04-27
Keyboard,West,176.4,40.90190063832866,0.02,Technology,2023-04-05
Chair,West,282.0,25.699556735743204,0.06,Furniture,2023-03-23
Pen,North,8.6,1.947276594577657,0.14,Stationery,2023-04-24
Chair,West,213.0,31.52042508463428,0.29,Furniture,2023-04-25
Table,West,366.0,99.87961455815989,0.39,Furniture,2023-04-10
Monitor,West,230.0,41.52511246762185,0.08,Technology,2023-06-05
Monitor,East,172.5,28.4180752203517,0.31,Technology,2023-05-02
Table,North,486.00000000000006,33.090569762927984,0.19,Furniture,2023-04-18
Notebook,North,18.6,2.6367650366508206,0.38,Stationery,2023-01-29
Table,East,291.0,36.67862630006768,0.03,Furniture,2023-04-22
Monitor,South,177.5,35.09430377782878,0.29,Technology,2023-05-24
Notebook,East,18.2,2.798398411165019,0.09,Stationery,2023-05-14
Chair,South,198.0,46.37423150319888,0.34,Furniture,2023-01-23
Chair,North,243.00000000000003,53.28632450476902,0.19,Furniture,2023-05-25
Chair,North,121.5,22.653047461515325,0.19,Furniture,2023-03-23
Notebook,East,27.0,7.787310950884362,0.1,Stationery,2023-06-28
Laptop,South,1312.0,294.7268303916595,0.18,Technology,2023-06-26
Headphones,South,168.0,39.652251700021296,0.3,Technology,2023-02-22
Pen,South,9.5,2.489820015751264,0.05,Stationery,2023-05-04
Table,North,720.0,99.05853340672192,0.4,Furniture,2023-06-10
Monitor,North,740.0,170.0869764707351,0.26,Technology,2023-04-19
Chair,East,246.00000000000003,44.63725061421846,0.18,Furniture,2023-06-06
Chair,East,106.5,12.42823470795034,0.29,Furniture,2023-01-18
Chair,North,243.00000000000003,16.17208572728319,0.19,Furniture,2023-01-08
Backpack,South,29.2,3.159240506922118,0.27,Stationery,2023-04-22
Monitor,East,355.0,25.890868563682883,0.29,Technology,2023-05-08
Monitor,West,750.0,193.54478644666867,0.0,Technology,2023-05-27
Laptop,South,1184.0,104.20005925403258,0.26,Technology,2023-03-07
Keyboard,North,53.4,14.630414414343486,0.11,Technology,2023-06-26
Backpack,South,97.6,22.70366447377606,0.39,Stationery,2023-05-19
Table,West,720.0,210.1208043666568,0.2,Furniture,2023-06-20
Table,North,216.0,24.3878448361692,0.28,Furniture,2023-05-11
Backpack,West,39.2,2.942467091943316,0.02,Stationery,2023-03-28
Monitor,North,187.5,26.07726476712263,0.25,Technology,2023-06-09
Keyboard,East,80.39999999999999,19.57157915462756,0.33,Technology,2023-01-30
Notebook,North,23.1,3.685928093761588,0.23,Stationery,2023-02-08
Table,East,837.0,191.6798317100174,0.07,Furniture,2023-04-03
Backpack,East,107.2,31.75190226218454,0.33,Stationery,2023-06-01
Table,West,276.0,82.66158606456045,0.08,Furniture,2023-03-27
Keyboard,East,92.4,20.69637243863085,0.23,Technology,2023-02-24
Laptop,South,1848.0,530.2937118455543,0.23,Technology,2023-06-19
Phone,East,1359.9999999999998,388.6684293850394,0.32,Technology,2023-03-04
Table,West,864.0,79.11854712185519,0.04,Furniture,2023-06-12
Laptop,South,1152.0,64.67818300040624,0.28,Technology,2023-03-30
Headphones,West,213.6,60.46210743984097,0.11,Technology,2023-05-31
Table,East,780.0,162.6264223364397,0.35,Furniture,2023-03-21
Table,East,684.0,51.911917249671646,0.24,Furniture,2023-01-10
Notebook,East,19.8,5.561104914110327,0.34,Stationery,2023-05-10
Chair,West,342.0,77.28905642719369,0.24,Furniture,2023-04-06
Notebook,North,12.4,2.869929504341067,0.38,Stationery,2023-04-12
Table,South,498.0,130.64817877449602,0.17,Furniture,2023-05-27
Laptop,South,1392.0,386.7849046220653,0.13,Technology,2023-04-14
Laptop,East,2720.0,593.5646309136479,0.15,Technology,2023-01-26
Keyboard,East,225.6,28.68097691886819,0.06,Technology,2023-01-08
Table,South,791.9999999999999,98.72550519532898,0.34,Furniture,2023-06-01
Backpack,South,118.4,7.138921823312402,0.26,Stationery,2023-04-21
Chair,North,432.0,75.8649320257929,0.04,Furniture,2023-03-31
Keyboard,East,117.6,34.78017456654605,0.02,Technology,2023-04-19
Notebook,East,17.0,1.889420838337392,0.15,Stationery,2023-02-18
Notebook,West,36.8,2.185316020470217,0.08,Stationery,2023-01-11
Laptop,South,3200.0,188.46544184802235,0.0,Technology,2023-04-02
Pen,West,19.4,3.2135262815741186,0.03,Stationery,2023-05-25
Chair,North,552.0,108.48289596027796,0.08,Furniture,2023-03-14
Table,East,1020.0,292.8529915183782,0.15,Furniture,2023-06-09
Notebook,South,13.599999999999998,3.3373778741174656,0.32,Stationery,2023-04-26
Headphones,North,220.8,36.42511144817755,0.08,Technology,2023-06-29
Phone,East,659.9999999999999,73.68521381520208,0.34,Technology,2023-05-23
Headphones,South,475.2,35.390044624583,0.01,Technology,2023-01-16
Chair,North,337.5,42.2424415150397,0.25,Furniture,2023-01-01
Headphones,East,327.6,18.129276132650727,0.09,Technology,2023-01-23
Phone,North,915.0,260.0532220704399,0.39,Technology,2023-03-25
Chair,South,243.00000000000003,69.66853563487973,0.19,Furniture,2023-01-29
Keyboard,North,118.8,6.467729752048286,0.01,Technology,2023-06-14
Notebook,West,9.0,1.1120988692918,0.1,Stationery,2023-06-15
Chair,East,219.0,38.87360600834662,0.27,Furniture,2023-02-20
Backpack,South,115.2,26.26186898572767,0.28,Stationery,2023-04-14
Notebook,West,9.3,0.9784164605567532,0.07,Stationery,2023-03-16
Notebook,South,7.800000000000001,1.588801277981383,0.22,Stationery,2023-05-31
Chair,West,97.5,25.98703346666532,0.35,Furniture,2023-04-18
Table,North,294.0,38.51784560844997,0.02,Furniture,2023-03-14
Pen,West,16.8,1.769584956792699,0.16,Stationery,2023-02-12
Notebook,East,36.0,6.331043502111232,0.1,Stationery,2023-01-17
Monitor,West,622.5,152.69813634164706,0.17,Technology,2023-05-06
Backpack,West,140.8,28.642314923162,0.12,Stationery,2023-04-28
Notebook,South,7.6,0.5286675894118907,0.24,Stationery,2023-03-07
Chair,East,216.0,16.4901154922645,0.28,Furniture,2023-03-28
Backpack,South,126.4,29.6923870372864,0.21,Stationery,2023-03-24
Table,South,612.0,117.76502442044313,0.32,Furniture,2023-02-12
Chair,West,204.0,17.71740522817425,0.32,Furniture,2023-06-23
Chair,North,118.5,33.09562702962019,0.21,Furniture,2023-02-07
Laptop,West,1328.0,233.1945735771576,0.17,Technology,2023-04-09
Phone,East,390.0,50.54194632495222,0.22,Technology,2023-03-10
Notebook,West,6.2,1.305462241479718,0.38,Stationery,2023-05-02
Pen,South,14.1,3.4018715707824434,0.06,Stationery,2023-05-30
Table,West,1188.0,353.53945107545513,0.01,Furniture,2023-04-21
Notebook,South,29.7,2.591138407353224,0.01,Stationery,2023-05-11
Chair,North,528.0,42.51530010241367,0.12,Furniture,2023-03-23
Keyboard,West,165.6,11.60379218339907,0.08,Technology,2023-02-14
Backpack,West,76.8,20.358951604348345,0.04,Stationery,2023-06-07
Chair,West,210.0,13.918720238162878,0.3,Furniture,2023-04-12
Headphones,West,201.6,57.72911508610628,0.16,Technology,2023-01-18
Headphones,South,324.0,73.06018520846197,0.1,Technology,2023-06-29
Keyboard,South,100.8,10.536825921379885,0.16,Technology,2023-05-17
Notebook,West,28.8,1.979434386089385,0.28,Stationery,2023-04-11
Monitor,South,325.0,57.87519236701374,0.35,Technology,2023-03-30
Notebook,South,8.9,1.1240448634919895,0.11,Stationery,2023-06-17
Chair,West,492.00000000000006,121.64888542438136,0.18,Furniture,2023-03-21
Monitor,South,365.0,73.69569969350894,0.27,Technology,2023-03-10
Chair,North,288.0,42.67818282053848,0.36,Furniture,2023-01-28
Headphones,North,334.79999999999995,21.58700647621698,0.07,Technology,2023-03-31
Keyboard,West,37.2,4.717951055221735,0.38,Technology,2023-02-05
Headphones,East,412.8,122.5366305665029,0.14,Technology,2023-03-03
Chair,West,594.0,48.36753284759166,0.01,Furniture,2023-02-26
Pen,South,16.400000000000002,1.5864425187519082,0.18,Stationery,2023-05-04
Chair,East,427.5,106.66969523642224,0.05,Furniture,2023-02-08
Pen,North,4.9,0.9689723089773036,0.02,Stationery,2023-01-12
Backpack,East,36.8,8.372536406144338,0.08,Stationery,2023-05-14
Notebook,North,24.4,5.923079802349867,0.39,Stationery,2023-04-02
Keyboard,North,114.0,31.5850788081855,0.05,Technology,2023-02-10
Pen,South,12.45,1.8819523345277247,0.17,Stationery,2023-03-18
Notebook,North,14.4,2.487478987945708,0.28,Stationery,2023-05-30
Table,South,204.0,21.213937565834623,0.32,Furniture,2023-06-05
Chair,South,276.0,45.32368499769985,0.08,Furniture,2023-04-06
Notebook,North,29.1,7.630260261272083,0.03,Stationery,2023-06-25
Table,North,791.9999999999999,129.96150872144682,0.34,Furniture,2023-05-16
Laptop,South,2400.0,696.4598840670603,0.25,Technology,2023-06-27
Backpack,East,94.8,15.994771600368528,0.21,Stationery,2023-05-09
Table,West,372.0,59.06820474601866,0.38,Furniture,2023-05-07
Table,West,1020.0,56.02136889454445,0.15,Furniture,2023-03-31
Pen,West,14.0,3.4431736193169766,0.3,Stationery,2023-03-16
Keyboard,East,115.2,6.597528474174,0.36,Technology,2023-05-04
Table,North,228.0,53.59979020800074,0.24,Furniture,2023-01-29
Table,West,948.0,224.81962338160997,0.21,Furniture,2023-04-05
Table,East,189.0,10.770462684563022,0.37,Furniture,2023-01-13
Phone,West,310.0,48.12636347051073,0.38,Technology,2023-01-07
Table,East,1176.0,302.0300889660998,0.02,Furniture,2023-06-22
Monitor,South,205.00000000000003,40.47273067213733,0.18,Technology,2023-06-14
Pen,North,20.0,1.5611215791414426,0.0,Stationery,2023-05-21
Table,West,960.0,228.7825572469393,0.2,Furniture,2023-01-23
Keyboard,South,87.6,4.980076158635696,0.27,Technology,2023-05-15
Keyboard,West,111.6,5.590248890665674,0.38,Technology,2023-04-24
Monitor,South,840.0,183.3321281053164,0.16,Technology,2023-04-16
Pen,East,12.4,3.099472785754259,0.38,Stationery,2023-06-15
Pen,South,3.35,0.2232744282472741,0.33,Stationery,2023-06-15
Pen,East,19.8,3.3180903475634027,0.01,Stationery,2023-01-06
Table,East,827.9999999999999,237.08122138342023,0.31,Furniture,2023-01-22
Notebook,South,7.800000000000001,1.9125376168706716,0.22,Stationery,2023-06-09
Pen,North,13.95,4.012927100018652,0.07,Stationery,2023-05-03
Monitor,South,517.5,105.35605255986476,0.31,Technology,2023-06-08
Backpack,South,132.79999999999998,20.65956827570164,0.17,Stationery,2023-05-11
Table,West,600.0,80.86418827161044,0.0,Furniture,2023-02-07
Phone,East,415.0,35.69607363817489,0.17,Technology,2023-01-13
Keyboard,East,172.79999999999998,13.974993735287397,0.28,Technology,2023-02-08
Chair,North,409.5,107.46200109861915,0.09,Furniture,2023-05-06
Chair,South,100.5,10.83528069361467,0.33,Furniture,2023-02-04
Laptop,West,2064.0,311.7267219845955,0.14,Technology,2023-02-22
Table,West,593.9999999999999,161.0663754414591,0.34,Furniture,2023-04-22
Backpack,South,92.4,7.289466344167253,0.23,Stationery,2023-02-07
Pen,West,4.5,0.4192837719244304,0.1,Stationery,2023-03-20
Table,East,996.0,156.00535567920625,0.17,Furniture,2023-04-10
Table,West,803.9999999999999,70.93028894640616,0.33,Furniture,2023-04-14
Backpack,South,36.0,4.22758073670327,0.1,Stationery,2023-04-03
Headphones,West,480.0,76.38388651950122,0.0,Technology,2023-01-19
Notebook,North,21.6,1.160460040523836,0.28,Stationery,2023-06-25
Keyboard,East,145.8,14.853839156755582,0.19,Technology,2023-04-08
Notebook,East,13.0,0.747113703670872,0.35,Stationery,2023-04-30
Chair,North,270.0,70.32256240984326,0.1,Furniture,2023-03-19
Monitor,North,197.5,44.749923066220106,0.21,Technology,2023-04-24
Headphones,South,199.2,13.6514009920686,0.17,Technology,2023-04-26
Laptop,West,2720.0,657.335124698955,0.15,Technology,2023-04-02
Phone,East,455.0,33.88864511368656,0.09,Technology,2023-06-08
Laptop,East,1583.9999999999998,400.3487657136607,0.34,Technology,2023-06-28
Pen,South,10.5,0.5588028125162148,0.3,Stationery,2023-02-27
Backpack,East,98.4,10.484429000713355,0.18,Stationery,2023-02-14
Notebook,West,31.200000000000003,5.922136740264478,0.22,Stationery,2023-04-12
Notebook,East,18.6,5.476030511579209,0.38,Stationery,2023-02-04
Notebook,South,24.3,7.2237100577928866,0.19,Stationery,2023-03-28
Notebook,South,36.0,8.495440385685674,0.1,Stationery,2023-01-07
Table,West,576.0,98.42409480729025,0.04,Furniture,2023-05-28
Headphones,South,156.0,40.72875354533007,0.35,Technology,2023-03-12
Notebook,North,24.9,3.670445396947277,0.17,Stationery,2023-01-16
Laptop,West,1600.0,357.4893354688912,0.0,Technology,2023-01-04
Table,South,228.0,51.08857826416948,0.24,Furniture,2023-06-19
Pen,West,3.0,0.8475947716827728,0.4,Stationery,2023-02-08
Keyboard,North,45.0,8.045470654948929,0.25,Technology,2023-06-28
Headphones,East,441.6,47.04619854375605,0.08,Technology,2023-05-14
Chair,North,109.5,29.2939817593098,0.27,Furniture,2023-06-07
Table,North,1104.0,172.90881289466844,0.08,Furniture,2023-01-18
Table,East,414.0,107.36327992441429,0.31,Furniture,2023-03-28
Table,East,402.0,31.961041279808853,0.33,Furniture,2023-03-20
Phone,South,730.0,57.011373734552166,0.27,Technology,2023-05-21
Monitor,East,475.0,30.32966358799225,0.05,Technology,2023-05-03
Notebook,East,7.1,1.6806300144102575,0.29,Stationery,2023-06-16
Headphones,West,73.2,20.549331518574483,0.39,Technology,2023-04-05
Monitor,East,360.0,46.76333322431546,0.28,Technology,2023-02-01
Monitor,North,630.0,81.07041159007493,0.37,Technology,2023-01-13
Keyboard,West,213.6,30.996012669655567,0.11,Technology,2023-05-30
Laptop,North,656.0,47.961501560503535,0.18,Technology,2023-02-07
Table,North,225.0,17.86195916752857,0.25,Furniture,2023-05-15
Backpack,East,147.20000000000002,7.911126376059917,0.08,Stationery,2023-03-22
Backpack,West,25.6,7.32418637740516,0.36,Stationery,2023-05-06
Pen,West,9.5,0.4897331099347443,0.05,Stationery,2023-03-06
Chair,West,186.0,52.6358098061006,0.38,Furniture,2023-02-10
Backpack,West,26.0,1.9422378941498184,0.35,Stationery,2023-03-09
Headphones,East,93.6,27.24250830481545,0.22,Technology,2023-06-24
Table,North,612.0,55.39716670958472,0.32,Furniture,2023-04-17
Notebook,West,18.6,4.423760888596878,0.38,Stationery,2023-03-04
Phone,South,390.0,115.08657022489152,0.22,Technology,2023-01-05
Laptop,East,736.0,169.4719871515781,0.08,Technology,2023-05-22
Table,South,567.0,81.58967872891184,0.37,Furniture,2023-04-27
Table,South,192.0,41.83527963466631,0.36,Furniture,2023-04-30
Notebook,West,9.7,2.403857764163797,0.03,Stationery,2023-06-06
Keyboard,North,56.4,14.262410435768553,0.06,Technology,2023-06-03
Chair,South,94.5,11.881126104824856,0.37,Furniture,2023-03-01
Keyboard,West,225.6,32.216660689656585,0.06,Technology,2023-05-14
Phone,North,1470.0,268.95821446772464,0.02,Technology,2023-01-07
